DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	0.0109821	1	0	3	10	3	1	2	0	6306	28	0	47.7773 	0	0
DL	0.0110714	1	1	0	1	3	1	1	0	6306	28	0	52.5173	0	0
DL	0.011125	1	1	0	4	3	1	2	0	6306	28	0	47.8229	0	0
UL	0.0111786	1	1	0	7	3	1	1	0	6306	28	0	52.5152 	0	0
UL	0.0112321	1	1	0	10	3	1	2	0	6306	28	0	47.8195 	0	0
DL	0.0113214	1	1	1	1	3	1	1	0	6306	28	0	52.4665	0	0
DL	0.011375	1	1	1	4	3	1	2	0	6306	28	0	47.8444	0	0
UL	0.0114286	1	1	1	7	3	1	1	0	6306	28	0	52.4558 	0	0
UL	0.0114821	1	1	1	10	3	1	2	0	6306	28	0	47.8561 	0	0
DL	0.0115714	1	1	2	1	3	1	1	0	6306	28	0	52.413	0	0
DL	0.011625	1	1	2	4	3	1	2	0	6306	28	0	47.8535	0	0
UL	0.0116786	1	1	2	7	3	1	1	0	6306	28	0	52.403 	0	0
UL	0.0117321	1	1	2	10	3	1	2	0	6306	28	0	47.8599 	0	0
DL	0.0118214	1	1	3	1	3	1	1	0	6306	28	0	52.4108	0	0
DL	0.011875	1	1	3	4	3	1	2	0	6306	28	0	47.8806	0	0
UL	0.0119286	1	1	3	7	3	1	1	0	6306	28	0	52.3517 	0	0
UL	0.0119821	1	1	3	10	3	1	2	0	6306	28	0	47.8229 	0	0
DL	0.0120714	1	2	0	1	3	1	1	0	6306	28	0	52.344	0	0
DL	0.012125	1	2	0	4	3	1	2	0	6306	28	0	47.8226	0	0
UL	0.0121786	1	2	0	7	3	1	1	0	6306	28	0	52.3131 	0	0
UL	0.0122321	1	2	0	10	3	1	2	0	6306	28	0	47.8452 	0	0
DL	0.0123214	1	2	1	1	3	1	1	0	6306	28	0	52.3723	0	0
DL	0.012375	1	2	1	4	3	1	2	0	6306	28	0	47.7667	0	0
UL	0.0124286	1	2	1	7	3	1	1	0	6306	28	0	52.411 	0	0
UL	0.0124821	1	2	1	10	3	1	2	0	6306	28	0	47.7797 	0	0
DL	0.0125714	1	2	2	1	3	1	1	0	6306	28	0	52.4589	0	0
DL	0.012625	1	2	2	4	3	1	2	0	6306	28	0	47.694	0	0
UL	0.0126786	1	2	2	7	3	1	1	0	6306	28	0	52.4789 	0	0
UL	0.0127321	1	2	2	10	3	1	2	0	6306	28	0	47.7075 	0	0
DL	0.0128214	1	2	3	1	3	1	1	0	6306	28	0	52.4732	0	0
DL	0.012875	1	2	3	4	3	1	2	0	6306	28	0	47.6898	0	0
UL	0.0129286	1	2	3	7	3	1	1	0	6306	28	0	52.4544 	0	0
UL	0.0129821	1	2	3	10	3	1	2	0	6306	28	0	47.7054 	0	0
DL	0.0130714	1	3	0	1	3	1	1	0	6306	28	0	52.4788	0	0
DL	0.013125	1	3	0	4	3	1	2	0	6306	28	0	47.7692	0	0
UL	0.0131786	1	3	0	7	3	1	1	0	6306	28	0	52.4098 	0	0
UL	0.0132321	1	3	0	10	3	1	2	0	6306	28	0	47.7568 	0	0
DL	0.0133214	1	3	1	1	3	1	1	0	6306	28	0	52.3813	0	0
DL	0.013375	1	3	1	4	3	1	2	0	6306	28	0	47.7923	0	0
UL	0.0134286	1	3	1	7	3	1	1	0	6306	28	0	52.365 	0	0
UL	0.0134821	1	3	1	10	3	1	2	0	6306	28	0	47.8142 	0	0
DL	0.0135714	1	3	2	1	3	1	1	0	6306	28	0	52.3861	0	0
DL	0.013625	1	3	2	4	3	1	2	0	6306	28	0	47.9595	0	0
UL	0.0136786	1	3	2	7	3	1	1	0	6306	28	0	52.4247 	0	0
UL	0.0137321	1	3	2	10	3	1	2	0	6306	28	0	47.9187 	0	0
DL	0.0138214	1	3	3	1	3	1	1	0	6306	28	0	52.3285	0	0
DL	0.013875	1	3	3	4	3	1	2	0	6306	28	0	47.9709	0	0
UL	0.0139286	1	3	3	7	3	1	1	0	6306	28	0	52.3193 	0	0
UL	0.0139821	1	3	3	10	3	1	2	0	6306	28	0	48.0317 	0	0
DL	0.0140714	1	4	0	1	3	1	1	0	6306	28	0	52.2966	0	0
DL	0.014125	1	4	0	4	3	1	2	0	6306	28	0	48.0049	0	0
UL	0.0141786	1	4	0	7	3	1	1	0	6306	28	0	52.2955 	0	0
UL	0.0142321	1	4	0	10	3	1	2	0	6306	28	0	48.0455 	0	0
DL	0.0143214	1	4	1	1	3	1	1	0	6306	28	0	52.2531	0	0
DL	0.014375	1	4	1	4	3	1	2	0	6306	28	0	48.0409	0	0
UL	0.0144286	1	4	1	7	3	1	1	0	6306	28	0	52.3096 	0	0
UL	0.0144821	1	4	1	10	3	1	2	0	6306	28	0	48.0161 	0	0
DL	0.0145714	1	4	2	1	3	1	1	0	6306	28	0	52.2918	0	0
DL	0.014625	1	4	2	4	3	1	2	0	6306	28	0	47.9606	0	0
UL	0.0146786	1	4	2	7	3	1	1	0	6306	28	0	52.3135 	0	0
UL	0.0147321	1	4	2	10	3	1	2	0	6306	28	0	47.9106 	0	0
DL	0.0148214	1	4	3	1	3	1	1	0	6306	28	0	52.308	0	0
DL	0.014875	1	4	3	4	3	1	2	0	6306	28	0	47.8155	0	0
UL	0.0149286	1	4	3	7	3	1	1	0	6306	28	0	52.3043 	0	0
UL	0.0149821	1	4	3	10	3	1	2	0	6306	28	0	47.7736 	0	0
DL	0.0150714	1	5	0	1	3	1	1	0	6306	28	0	52.3656	0	0
DL	0.015125	1	5	0	4	3	1	2	0	6306	28	0	47.9052	0	0
UL	0.0151786	1	5	0	7	3	1	1	0	6306	28	0	52.3469 	0	0
UL	0.0152321	1	5	0	10	3	1	2	0	6306	28	0	47.9406 	0	0
DL	0.0153214	1	5	1	1	3	1	1	0	6306	28	0	52.3265	0	0
DL	0.015375	1	5	1	4	3	1	2	0	6306	28	0	47.8635	0	0
UL	0.0154286	1	5	1	7	3	1	1	0	6306	28	0	52.2946 	0	0
