DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.014875	1	4	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0149821	1	4	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.015125	1	5	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0152321	1	5	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.015375	1	5	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0154821	1	5	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.015625	1	5	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0157321	1	5	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.015875	1	5	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0159821	1	5	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.016125	1	6	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0162321	1	6	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.016375	1	6	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0164821	1	6	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.016625	1	6	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0167321	1	6	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.016875	1	6	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0169821	1	6	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.017125	1	7	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0172321	1	7	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.017375	1	7	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0174821	1	7	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.017625	1	7	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0177321	1	7	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.017875	1	7	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0179821	1	7	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.018125	1	8	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0182321	1	8	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.018375	1	8	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0184821	1	8	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.018625	1	8	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0187321	1	8	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.018875	1	8	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0189821	1	8	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.019125	1	9	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0192321	1	9	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
